H0	H1	H2	C0	C1	C2	
ENSG00000234522	0	0	0	0	0	0
ENSG00000234523	0	1	0	0	0	0
ENSG00000234524	1	0	2	1	0	0
ENSG00000234529	0	0	0	1	1	1
ENSG00000234534	3	5	3	18	14	4
ENSG00000234535	0	0	0	0	0	0
ENSG00000234537	0	0	0	0	0	0
ENSG00000234540	0	0	0	0	0	0
ENSG00000234542	0	0	0	1	0	0
ENSG00000234544	0	0	0	0	0	0
ENSG00000234545	332	135	173	572	315	101
ENSG00000234546	22	10	3	5	4	5
ENSG00000234548	0	0	0	0	0	0
ENSG00000234551	0	0	0	0	0	0
ENSG00000234553	0	0	0	0	0	0
ENSG00000234556	0	0	0	0	0	0
ENSG00000234558	575	317	508	421	311	194
ENSG00000234560	0	0	0	0	0	0
ENSG00000234562	15	11	1	0	0	0
ENSG00000234564	4	3	2	6	0	2
ENSG00000234567	0	0	0	0	0	0
ENSG00000234568	0	0	0	0	0	0
ENSG00000234569	58	34	45	87	101	32
ENSG00000234570	0	0	2	6	4	8
ENSG00000234572	0	0	0	0	0	0
ENSG00000234573	1	1	3	1	0	0
ENSG00000234577	0	0	0	0	0	0
ENSG00000234579	0	0	0	0	0	0
ENSG00000234580	0	0	0	0	0	0
ENSG00000234584	1	0	2	2	2	1
ENSG00000234586	6	0	0	7	12	1
ENSG00000234587	0	0	0	0	0	0
ENSG00000234588	0	0	0	0	0	0
ENSG00000234590	7	4	42	2	3	0
ENSG00000234592	6	4	0	8	10	3
ENSG00000234593	0	0	0	0	0	0
ENSG00000234595	0	0	0	0	0	0
ENSG00000234597	0	1	0	0	0	0
ENSG00000234601	0	0	0	0	0	0
ENSG00000234602	0	1	5	0	0	0
ENSG00000234607	0	0	0	0	0	1
ENSG00000234608	1065	274	178	765	451	138
ENSG00000234611	0	0	0	0	1	0
ENSG00000234612	2	0	0	2	0	0
ENSG00000234614	77	14	6	52	11	8
ENSG00000234616	951	616	767	1302	916	249
ENSG00000234617	0	0	0	5	12	0
ENSG00000234620	0	0	0	0	0	0
ENSG00000234622	0	0	0	0	0	0
ENSG00000234625	0	9	1	0	2	0
ENSG00000234626	0	0	0	0	0	0
ENSG00000234629	91	63	6	46	44	27
ENSG00000234632	0	0	0	0	0	0
ENSG00000234634	0	0	0	0	0	0
ENSG00000234636	34	18	19	31	10	16
ENSG00000234637	0	0	0	0	0	0
ENSG00000234639	5	6	2	22	15	5
ENSG00000234640	0	0	0	0	0	0
ENSG00000234644	0	0	0	0	0	0
ENSG00000234646	0	0	0	0	0	0
ENSG00000234647	0	0	0	0	0	0
ENSG00000234650	0	3	0	0	1	0
ENSG00000234652	8	5	1	4	3	0
ENSG00000234653	0	0	0	0	0	0
ENSG00000234660	0	0	0	0	0	0
ENSG00000234661	0	0	0	0	0	0
ENSG00000234663	0	0	0	0	1	0
ENSG00000234667	1	0	0	1	0	0
ENSG00000234675	0	0	0	0	0	0
ENSG00000234676	2	0	0	1	0	0
ENSG00000234677	0	0	0	0	0	0
ENSG00000234678	12	16	1	10	18	2
ENSG00000234682	0	0	0	0	0	0
ENSG00000234684	16	40	168	507	835	125
ENSG00000234686	0	0	0	0	0	0
ENSG00000234688	0	0	0	0	0	0
ENSG00000234689	0	0	0	0	0	0
ENSG00000234690	30	19	7	3	2	2
ENSG00000234692	8	0	0	2	0	0
ENSG00000234693	0	0	0	0	2	0
ENSG00000234694	3	1	0	0	0	0
ENSG00000234695	0	0	0	2	0	0
ENSG00000234696	2	5	0	0	0	0
ENSG00000234698	0	3	0	0	0	0
ENSG00000234699	1	0	0	0	0	0
ENSG00000234701	1	0	0	0	0	0
ENSG00000234703	0	0	0	0	0	0
ENSG00000234705	0	0	0	0	0	0
ENSG00000234706	2	0	0	0	1	1
ENSG00000234707	0	0	0	0	1	0
ENSG00000234709	1	3	1	1	8	1
ENSG00000234710	0	0	0	0	0	0
ENSG00000234713	6	2	79	0	0	0
ENSG00000234714	0	0	0	0	1	0
ENSG00000234715	0	0	0	0	1	0
ENSG00000234717	0	0	0	0	0	0
ENSG00000234718	0	0	0	0	1	0
ENSG00000234719	0	0	0	0	0	0
ENSG00000234721	0	0	0	0	0	0
ENSG00000234722	0	0	0	0	0	0
ENSG00000234723	0	0	0	0	0	0
ENSG00000234724	25	18	2	1	0	1
ENSG00000234730	0	0	0	0	0	0
ENSG00000234731	0	0	0	0	0	0
ENSG00000234732	0	0	0	0	0	0
ENSG00000234735	0	1	3	2	1	0
ENSG00000234736	0	0	0	0	0	0
ENSG00000234737	40	279	491	4	61	27
ENSG00000234740	8	6	2	6	6	3
ENSG00000234741	6679	4073	2658	5742	3231	1416
ENSG00000234745	123	159	355	168	438	143
ENSG00000234748	0	0	0	0	0	0
ENSG00000234752	0	0	0	0	0	0
ENSG00000234754	0	0	0	0	0	0
ENSG00000234756	0	0	0	0	0	0
ENSG00000234758	1	0	0	3	0	0
ENSG00000234761	0	0	0	1	0	1
ENSG00000234763	0	17	0	0	1	0
ENSG00000234765	0	0	0	1	0	1
ENSG00000234767	0	0	0	2	0	0
ENSG00000234768	0	0	0	0	0	0
ENSG00000234770	0	0	0	0	0	0
ENSG00000234772	0	1	0	1	1	0
ENSG00000234773	16	15	5	65	59	20
ENSG00000234775	0	0	0	0	0	1
ENSG00000234776	1	3	3	6	1	1
ENSG00000234777	0	0	0	0	0	0
ENSG00000234779	41	23	0	30	9	4
ENSG00000234781	0	0	0	0	0	0
ENSG00000234784	1	0	1	0	0	0
ENSG00000234787	70	12	1	0	0	0
ENSG00000234788	2	0	0	1	1	0
ENSG00000234789	6	7	1	5	14	12
ENSG00000234790	0	1	3	1	0	0
ENSG00000234791	11	2	0	1	0	0
ENSG00000234793	0	0	1	0	1	0
ENSG00000234796	0	0	0	0	0	0
ENSG00000234805	0	0	1	0	1	0
ENSG00000234807	0	1	0	0	0	2
ENSG00000234810	0	0	0	1	0	0
ENSG00000234811	1	0	0	0	0	0
ENSG00000234814	0	0	1	0	3	0
ENSG00000234816	0	1	1	2	1	0
ENSG00000234817	2	1	1	0	0	2
ENSG00000234818	40	30	21	62	34	28
ENSG00000234819	173	45	124	222	88	36
ENSG00000234821	0	0	0	0	1	0
ENSG00000234826	0	0	0	0	1	0
ENSG00000234828	1	0	0	0	0	0
ENSG00000234832	1	2	1	3	0	0
ENSG00000234835	2	1	0	2	0	1
ENSG00000234839	0	0	0	0	0	0
ENSG00000234840	0	0	1	0	13	2
ENSG00000234841	45	5	3	30	7	1
ENSG00000234842	0	0	0	0	0	0
ENSG00000234853	0	0	1	3	0	0
ENSG00000234854	0	0	0	0	0	0
ENSG00000234855	0	0	0	0	0	0
ENSG00000234857	27	21	0	23	29	9
ENSG00000234859	0	0	0	0	0	0
ENSG00000234860	0	0	0	0	0	0
ENSG00000234862	0	0	0	0	0	0
ENSG00000234863	0	0	0	0	0	0
ENSG00000234864	0	0	0	0	0	0
ENSG00000234869	3	10	1	12	34	1
ENSG00000234871	0	0	0	0	0	0
ENSG00000234872	0	0	0	0	0	0
ENSG00000234877	0	0	0	0	0	0
ENSG00000234878	0	0	0	0	0	0
ENSG00000234881	0	0	0	0	1	0
ENSG00000234883	4	2	86	7	5	3
ENSG00000234884	0	0	0	2	0	0
ENSG00000234886	1	0	0	0	0	0
ENSG00000234889	1	0	0	0	0	0
ENSG00000234890	3	3	0	187	189	30
ENSG00000234891	0	0	0	0	0	0
ENSG00000234892	1	0	0	0	0	0
ENSG00000234894	0	0	0	0	0	0
ENSG00000234895	0	0	0	0	0	0
ENSG00000234899	3	38	0	5	18	12
ENSG00000234900	0	0	0	0	1	0
ENSG00000234901	0	0	0	0	0	0
ENSG00000234902	0	0	0	0	0	0
ENSG00000234906	0	0	0	0	0	0
ENSG00000234910	0	0	0	0	0	0
ENSG00000234911	7	9	0	3	4	0
ENSG00000234912	89	36	120	93	100	45
ENSG00000234913	0	0	0	0	0	0
ENSG00000234915	0	0	0	0	0	0
ENSG00000234917	4	2	1	0	1	0
ENSG00000234918	0	0	0	0	0	0
ENSG00000234919	0	0	0	0	0	0
ENSG00000234921	0	0	0	0	0	1
ENSG00000234922	0	0	0	0	0	0
ENSG00000234931	0	0	0	0	0	0
ENSG00000234936	10	1	2	48	26	4
ENSG00000234937	3	0	0	1	7	0
ENSG00000234938	0	0	0	0	0	0
ENSG00000234940	0	0	0	0	0	0
ENSG00000234942	0	0	0	0	0	0
ENSG00000234943	0	0	0	0	0	1
ENSG00000234944	0	0	0	0	0	0
ENSG00000234945	102	71	131	76	63	46
ENSG00000234946	27	21	1	75	68	24
ENSG00000234948	1	0	0	0	0	0
ENSG00000234949	1	3	0	3	0	0
ENSG00000234952	0	0	0	0	0	0
ENSG00000234953	0	0	0	0	0	0
ENSG00000234956	0	0	0	0	0	0
ENSG00000234958	1	0	0	1	0	0
ENSG00000234961	46	293	2380	96	1979	1901
ENSG00000234962	0	0	0	0	0	0
ENSG00000234965	13	1	0	12	0	0
ENSG00000234967	0	0	0	0	0	0
ENSG00000234969	4	4	0	0	5	0
ENSG00000234973	0	0	0	0	0	0
ENSG00000234977	0	0	0	0	0	0
ENSG00000234979	0	0	0	0	0	0
ENSG00000234984	0	0	0	0	0	0
ENSG00000234985	416	623	418	60	97	20
ENSG00000234988	0	0	0	0	0	0
ENSG00000234993	0	0	0	0	0	0
ENSG00000234996	52	34	7	59	34	2
ENSG00000234999	1	1	2	3	5	0
ENSG00000235002	4	5	0	1	0	0
ENSG00000235005	0	0	1	1	0	0
ENSG00000235007	0	0	0	0	0	0
ENSG00000235008	441	254	98	183	141	68
ENSG00000235009	0	0	0	0	0	0
ENSG00000235010	1	0	0	0	0	0
ENSG00000235012	0	0	0	0	0	0
ENSG00000235015	41	15	4	60	27	6
ENSG00000235016	53	137	31	84	261	45
ENSG00000235020	1	0	2	1	1	0
ENSG00000235021	0	0	0	0	0	0
ENSG00000235023	10	2	1	0	1	0
ENSG00000235024	0	0	0	0	0	0
ENSG00000235026	7	51	14	0	1	0
ENSG00000235027	9	12	1	18	48	9
ENSG00000235029	0	0	0	0	0	0
ENSG00000235032	0	0	0	1	0	0
ENSG00000235033	7	1	76	19	50	5
ENSG00000235034	117	45	14	127	84	24
ENSG00000235035	1	0	0	0	0	0
ENSG00000235036	49	67	27	60	55	30
ENSG00000235038	0	0	0	1	0	0
ENSG00000235039	0	0	0	0	0	0
ENSG00000235042	0	0	0	0	0	0
ENSG00000235044	3	1	1	1	2	0
ENSG00000235047	0	0	0	0	0	0
ENSG00000235049	0	0	0	0	0	0
ENSG00000235050	0	0	1	0	1	1
ENSG00000235051	1	0	0	1	2	0
ENSG00000235052	3	0	42	0	0	1
ENSG00000235054	2	0	0	0	0	0
ENSG00000235055	3	5	0	16	12	3
ENSG00000235056	0	0	0	0	0	0
ENSG00000235058	0	0	0	0	0	0
ENSG00000235061	0	0	0	0	0	0
ENSG00000235066	2	9	87	2	10	8
ENSG00000235070	0	0	0	0	1	0
ENSG00000235071	48	26	61	62	33	16
ENSG00000235072	0	0	0	2	1	0
ENSG00000235077	0	0	0	0	0	0
ENSG00000235078	9	21	0	72	19	14
ENSG00000235079	5	3	1	2	1	3
ENSG00000235085	0	0	0	0	1	0
ENSG00000235086	1	0	0	0	0	0
ENSG00000235088	0	0	0	0	0	0
ENSG00000235091	0	0	1	0	0	0
ENSG00000235092	16	8	1	1	6	2
ENSG00000235096	0	0	0	0	0	0
ENSG00000235097	0	0	0	0	0	0
ENSG00000235098	17	6	91	7	8	1
ENSG00000235099	0	0	0	0	0	0
ENSG00000235100	14	2	0	13	35	0
ENSG00000235101	0	0	0	1	2	0
ENSG00000235102	0	0	2	1	0	0
ENSG00000235105	149	84	147	120	107	65
ENSG00000235106	324	240	401	489	598	248
ENSG00000235108	0	0	0	0	0	0
ENSG00000235109	153	215	157	222	156	14
ENSG00000235112	0	0	0	0	0	0
ENSG00000235113	0	0	0	0	0	0
ENSG00000235118	0	0	0	0	0	0
ENSG00000235119	3	9	0	2	2	0
ENSG00000235120	0	0	0	0	0	0
ENSG00000235121	0	0	0	1	1	0
ENSG00000235122	0	0	0	0	0	0
ENSG00000235123	0	0	0	0	0	0
ENSG00000235126	0	0	0	0	0	0
ENSG00000235127	0	0	0	0	0	0
ENSG00000235128	2	1	0	1	1	1
ENSG00000235129	0	0	0	0	0	0
ENSG00000235131	0	0	0	1	0	0
ENSG00000235133	0	0	1	0	0	0
ENSG00000235137	14	4	9	9	6	7
ENSG00000235138	0	0	0	1	0	1
ENSG00000235139	0	0	0	0	0	0
ENSG00000235140	0	0	0	0	0	0
ENSG00000235141	0	0	0	0	2	0
ENSG00000235142	1	2	0	0	0	0
ENSG00000235143	0	0	0	0	0	0
ENSG00000235145	0	1	8	2	4	1
ENSG00000235149	0	0	0	0	0	0
ENSG00000235150	0	0	0	0	0	0
ENSG00000235151	0	1	0	1	1	0
ENSG00000235152	36	0	2	0	0	0
ENSG00000235154	0	0	0	0	0	0
ENSG00000235156	0	0	0	0	0	0
ENSG00000235158	0	0	0	0	0	0
ENSG00000235159	0	0	0	0	0	0
ENSG00000235160	0	0	0	0	0	0
ENSG00000235162	528	1288	8091	1810	1251	3982
ENSG00000235163	0	0	0	1	1	0
ENSG00000235165	13	10	4	67	290	241
ENSG00000235166	0	0	36	0	0	0
ENSG00000235168	0	0	0	0	0	0
ENSG00000235169	50	46	0	41	56	4
ENSG00000235170	0	0	0	0	0	0
ENSG00000235172	1	0	0	0	0	0
ENSG00000235173	981	420	538	1008	666	287
ENSG00000235180	0	0	0	0	0	0
ENSG00000235185	0	0	0	0	0	0
ENSG00000235189	0	2	0	0	0	1
ENSG00000235191	0	0	0	0	0	0
ENSG00000235192	8	1	1	0	2	0
ENSG00000235194	51	39	9	173	134	75
ENSG00000235197	1	0	5	1	3	0
ENSG00000235198	0	0	0	0	0	0
ENSG00000235199	0	0	0	0	0	0
ENSG00000235200	0	0	0	0	2	0
ENSG00000235201	0	0	0	0	0	0
ENSG00000235202	0	0	0	0	0	0
ENSG00000235204	0	1	0	0	2	0
ENSG00000235208	0	0	0	0	0	0
ENSG00000235209	0	0	0	1	0	0
ENSG00000235213	0	3	0	0	0	3
ENSG00000235214	1	1	0	0	0	0
ENSG00000235215	4	0	0	2	0	0
ENSG00000235217	277	261	250	261	204	47
ENSG00000235218	5	3	2	8	10	6
ENSG00000235219	0	0	0	0	0	0
ENSG00000235221	0	0	0	0	0	0
ENSG00000235224	1	2	2	0	0	0
ENSG00000235226	0	3	4	0	1	1
ENSG00000235232	1	3	1	3	0	1
ENSG00000235236	13	1	1	16	10	5
ENSG00000235237	0	1	0	0	1	0
ENSG00000235239	0	0	0	0	0	0
ENSG00000235242	0	0	0	0	0	0
ENSG00000235243	0	1	2	4	10	2
ENSG00000235244	9	0	0	3	3	1
ENSG00000235245	14	10	2	19	17	5
ENSG00000235246	0	0	0	2	0	0
ENSG00000235248	0	0	0	0	0	0
ENSG00000235251	134	83	46	267	104	40
ENSG00000235257	21	22	4	36	81	30
ENSG00000235262	0	2	0	0	0	0
ENSG00000235263	0	0	0	0	0	0
ENSG00000235266	1	0	1	2	4	0
ENSG00000235271	1	0	1	2	1	0
ENSG00000235274	0	0	3	0	0	0
ENSG00000235277	1	0	0	1	0	0
ENSG00000235278	1	1	0	0	0	0
ENSG00000235279	0	0	0	0	0	0
ENSG00000235280	2	3	0	2	3	1
ENSG00000235281	0	0	0	0	0	0
ENSG00000235282	15	25	32	36	43	22
ENSG00000235285	0	0	0	0	0	0
ENSG00000235286	1	10	8	3	9	6
ENSG00000235288	0	0	0	0	0	1
ENSG00000235289	0	0	0	1	3	0
ENSG00000235292	0	0	0	2	0	0
ENSG00000235293	0	0	0	0	0	0
ENSG00000235294	0	0	0	0	0	0
ENSG00000235296	0	0	0	0	0	0
ENSG00000235297	3498	2731	2007	2916	2111	732
ENSG00000235298	1	0	3	2	1	0
ENSG00000235299	0	0	0	0	0	1
ENSG00000235300	0	0	0	0	0	0
ENSG00000235301	0	0	0	0	1	0
ENSG00000235303	0	0	0	0	0	0
ENSG00000235304	0	0	0	0	0	0
ENSG00000235306	0	0	0	0	0	0
ENSG00000235308	1	0	0	0	0	0
ENSG00000235312	0	0	0	0	0	0
ENSG00000235315	11	9	84	6	4	0
ENSG00000235316	11	13	20	17	39	13
ENSG00000235318	1	1	0	0	1	1
ENSG00000235319	0	1	0	0	0	0
ENSG00000235321	0	0	0	0	0	0
ENSG00000235328	1	0	0	1	3	0
ENSG00000235330	5	1	0	0	0	0
ENSG00000235334	0	0	0	0	0	0
ENSG00000235335	1	1	0	1	1	1
ENSG00000235337	0	0	0	0	0	0
ENSG00000235338	21	2	2	0	0	0
ENSG00000235339	34	11	0	30	18	6
ENSG00000235347	0	0	0	1	1	1
ENSG00000235349	0	0	0	14	1	0
ENSG00000235351	16	14	1	9	16	0
ENSG00000235352	0	0	0	0	1	0
ENSG00000235356	0	0	0	0	0	0
ENSG00000235357	0	9	0	0	2	0
ENSG00000235358	0	1	0	0	2	0
ENSG00000235366	0	0	0	0	0	0
ENSG00000235369	0	0	1	0	0	1
ENSG00000235371	80	58	25	51	83	36
ENSG00000235374	13	38	0	12	26	6
ENSG00000235376	219	121	130	355	238	139
ENSG00000235377	14	11	15	2	0	1
ENSG00000235379	0	0	1	1	1	0
ENSG00000235381	50	20	7	117	96	48
ENSG00000235382	0	0	0	0	0	0
ENSG00000235385	1	2	4	0	4	69
ENSG00000235387	0	0	0	0	2	0
ENSG00000235389	1	0	0	0	0	0
ENSG00000235390	1	1	0	32	20	1
ENSG00000235397	0	0	0	2	3	0
ENSG00000235399	0	0	0	0	0	0
ENSG00000235400	284	216	235	137	144	64
ENSG00000235403	1	0	0	0	0	3
ENSG00000235407	0	0	0	0	0	0
ENSG00000235408	6	3	0	8	2	3
ENSG00000235410	0	0	0	0	0	0
ENSG00000235411	239	169	120	164	103	37
ENSG00000235413	3	5	2	4	8	0
ENSG00000235414	0	0	1	1	1	0
ENSG00000235415	0	0	0	1	0	0
ENSG00000235416	0	0	0	1	1	0
ENSG00000235419	0	0	0	0	0	0
ENSG00000235420	0	0	0	0	0	0
ENSG00000235422	0	0	0	1	0	0
ENSG00000235423	37	23	50	11	21	9
ENSG00000235425	3	2	2	0	0	0
ENSG00000235426	0	0	0	0	2	0
ENSG00000235427	0	0	0	0	0	3
ENSG00000235429	0	0	1	1	0	0
ENSG00000235431	0	0	0	0	0	0
ENSG00000235432	0	0	0	1	0	0
ENSG00000235433	0	0	0	0	0	1
ENSG00000235434	0	0	0	0	0	0
ENSG00000235435	0	0	0	0	0	0
ENSG00000235437	312	783	256	279	866	227
ENSG00000235438	9	1	0	0	1	0
ENSG00000235440	0	0	0	0	3	2
ENSG00000235444	1	2	2	5	3	2
ENSG00000235445	0	0	0	0	0	0
ENSG00000235446	0	0	0	0	0	0
ENSG00000235448	1	0	0	0	0	0
ENSG00000235451	0	0	0	0	0	0
ENSG00000235453	179	106	91	144	114	59
ENSG00000235455	0	0	0	0	0	0
ENSG00000235461	1	0	0	4	3	0
ENSG00000235462	0	0	0	0	1	0
ENSG00000235463	0	0	0	0	0	0
ENSG00000235464	0	0	0	0	0	0
ENSG00000235469	0	1	0	1	1	0
ENSG00000235470	0	0	0	0	0	2
ENSG00000235478	6	0	0	9	0	3
ENSG00000235480	6	0	0	0	0	0
ENSG00000235481	2	2	1	0	3	1
ENSG00000235482	0	4	0	2	2	1
ENSG00000235483	1	0	4	2	3	0
ENSG00000235485	54	26	143	52	66	25
ENSG00000235488	2	1	1	4	1	1
ENSG00000235489	291	129	228	318	103	39
ENSG00000235491	0	9	1	0	0	0
ENSG00000235492	0	0	0	0	0	0
ENSG00000235493	11	0	0	2	1	0
ENSG00000235494	1	0	0	0	0	0
ENSG00000235495	0	1	0	0	0	0
ENSG00000235497	0	0	0	0	0	0
ENSG00000235499	16	22	41	11	39	12
ENSG00000235501	105	42	40	84	60	12
ENSG00000235503	0	0	0	0	0	0
ENSG00000235505	0	0	0	0	1	0
ENSG00000235513	22	15	58	34	14	16
ENSG00000235514	3	3	3	0	1	0
ENSG00000235518	0	0	0	0	0	0
ENSG00000235519	0	0	0	0	0	0
ENSG00000235522	62	83	73	54	76	30
ENSG00000235523	0	0	1	0	0	0
ENSG00000235524	0	0	2	9	16	11
ENSG00000235525	2	2	3	0	3	0
ENSG00000235526	0	0	0	3	0	1
ENSG00000235527	2	1	1	5	7	1
ENSG00000235529	8	7	0	3	12	2
ENSG00000235530	10	1	0	5	9	5
ENSG00000235531	13	9	0	2	3	0
ENSG00000235532	10	3	1	1	0	0
ENSG00000235533	0	0	0	0	0	0
ENSG00000235534	4	1	0	2	2	0
ENSG00000235535	0	0	0	0	0	0
ENSG00000235537	0	0	0	0	0	0
ENSG00000235538	0	0	0	0	0	0
ENSG00000235539	0	0	0	0	0	0
ENSG00000235544	3	6	5	5	0	0
ENSG00000235545	14	9	3	25	30	14
ENSG00000235546	33	38	4	31	59	25
ENSG00000235547	5	1	1	0	3	0
ENSG00000235548	1	1	0	0	0	1
ENSG00000235549	0	0	0	0	0	0
ENSG00000235550	0	0	0	0	0	0
ENSG00000235554	166	296	154	113	267	59
ENSG00000235560	6	4	1	6	4	1
ENSG00000235563	0	0	0	0	0	0
ENSG00000235568	39	29	2	31	2	0
ENSG00000235570	11	2	0	2	0	0
ENSG00000235572	0	0	0	0	0	0
ENSG00000235573	1	0	0	0	0	0
ENSG00000235575	0	0	0	0	0	0
ENSG00000235576	3	0	0	0	0	0
ENSG00000235579	340	325	457	407	571	164
ENSG00000235586	4	4	1	7	5	5
ENSG00000235590	8	8	1	122	27	6
ENSG00000235592	0	0	0	0	0	0
ENSG00000235593	0	0	0	0	0	0
ENSG00000235594	0	0	0	0	0	0
ENSG00000235595	1	1	0	0	1	1
ENSG00000235597	3	0	0	2	0	0
ENSG00000235598	0	0	0	0	0	0
ENSG00000235601	3	1	0	3	1	0
ENSG00000235608	0	0	0	0	1	1
ENSG00000235609	28	250	95	6	43	15
ENSG00000235610	0	0	0	0	0	0
ENSG00000235612	0	0	0	0	0	0
ENSG00000235620	0	0	0	0	0	0
ENSG00000235621	0	1	0	0	0	0
ENSG00000235625	0	0	0	0	0	0
ENSG00000235626	1	4	2	1	6	4
ENSG00000235627	0	0	0	1	1	0
ENSG00000235628	0	0	0	0	0	0
ENSG00000235629	0	0	0	0	2	0
ENSG00000235631	0	1	0	8	1	1
ENSG00000235635	0	0	0	0	0	0
ENSG00000235637	0	0	0	0	0	0
ENSG00000235638	0	0	0	0	0	0
ENSG00000235640	0	0	0	0	0	0
ENSG00000235641	1	0	0	0	6	0
ENSG00000235642	0	0	0	0	0	1
ENSG00000235643	0	0	0	0	0	0
ENSG00000235645	0	0	0	0	0	0
ENSG00000235647	1	0	3	0	0	0
ENSG00000235651	266	147	62	181	127	65
ENSG00000235652	9	8	1	11	40	9
ENSG00000235653	0	0	0	0	0	0
ENSG00000235661	0	0	0	1	0	0
ENSG00000235663	0	1	0	1	0	0
ENSG00000235665	0	0	0	0	0	0
ENSG00000235669	1	0	0	0	1	0
ENSG00000235673	0	1	4	1	0	1
ENSG00000235678	0	0	0	0	0	0
ENSG00000235683	0	0	0	0	1	0
ENSG00000235685	3	3	2	0	1	0
ENSG00000235687	0	0	0	0	0	0
ENSG00000235688	128	7	18	48	1	1
ENSG00000235689	0	0	0	0	0	0
ENSG00000235690	0	0	0	0	0	0
ENSG00000235695	60	35	39	0	2	0
ENSG00000235701	65	93	41	65	99	35
ENSG00000235706	30	53	9	44	64	8
ENSG00000235707	0	0	0	1	0	0
ENSG00000235710	0	0	0	0	0	0
ENSG00000235711	0	0	0	0	2	0
ENSG00000235713	0	1	0	0	0	0
ENSG00000235716	0	3	5	1	7	1
ENSG00000235717	0	0	0	0	0	0
ENSG00000235718	0	0	0	0	0	0
ENSG00000235724	2	1	1	2	11	1
ENSG00000235725	0	0	0	0	0	0
ENSG00000235726	18	5	0	3	1	1
ENSG00000235731	0	0	0	0	1	0
ENSG00000235733	0	0	0	0	0	0
ENSG00000235735	0	0	0	0	0	0
ENSG00000235737	0	0	0	0	0	0
ENSG00000235740	0	0	0	1	1	0
ENSG00000235741	1	0	0	0	2	0
ENSG00000235743	0	0	0	0	0	0
ENSG00000235748	1	0	0	3	5	0
ENSG00000235749	1	0	0	0	0	0
ENSG00000235750	1035	1660	735	376	3970	401
ENSG00000235756	2	0	0	1	1	0
ENSG00000235760	8	5	2	4	0	0
ENSG00000235761	1	0	0	0	0	0
ENSG00000235763	4	2	2	3	2	4
ENSG00000235768	85	64	26	66	102	20
ENSG00000235770	7	12	3	0	62	1
ENSG00000235772	1	2	0	0	5	0
ENSG00000235774	0	0	0	0	0	0
ENSG00000235775	0	0	0	0	0	0
ENSG00000235777	0	0	0	0	0	0
ENSG00000235779	2	2	0	7	5	0
ENSG00000235781	3	2	0	4	0	0
ENSG00000235782	0	0	0	2	0	0
ENSG00000235784	0	1	0	1	2	1
ENSG00000235785	0	0	0	0	0	0
ENSG00000235786	0	0	0	2	0	0
ENSG00000235787	0	1	1	2	1	0
ENSG00000235790	2	34	3	5	90	9
ENSG00000235794	1	0	0	0	0	0
ENSG00000235795	1	2	0	0	4	0
ENSG00000235797	4	1	2	10	18	14
ENSG00000235803	0	0	0	0	0	0
ENSG00000235806	0	0	0	1	0	0
ENSG00000235808	453	557	835	494	1387	468
ENSG00000235810	0	0	0	0	0	0
ENSG00000235812	0	0	0	2	1	0
ENSG00000235813	0	0	0	0	0	2
ENSG00000235815	0	0	0	0	0	0
ENSG00000235817	41	16	28	24	8	3
ENSG00000235818	0	0	0	0	0	0
ENSG00000235819	0	1	0	0	0	0
ENSG00000235820	0	0	0	0	0	0
ENSG00000235821	6	3	0	0	0	0
ENSG00000235822	0	0	0	0	0	0
ENSG00000235823	626	52	97	602	28	15
ENSG00000235824	0	2	0	0	0	0
ENSG00000235829	41	53	7	1	1	0
ENSG00000235830	0	0	0	0	1	0
ENSG00000235831	13	13	3	0	14	8
ENSG00000235834	0	0	0	0	0	0
ENSG00000235836	0	0	0	0	0	1
ENSG00000235837	136	224	122	123	185	102
ENSG00000235838	4	2	2	7	2	2
ENSG00000235840	0	0	0	0	0	0
ENSG00000235843	0	1	0	1	1	0
ENSG00000235845	0	0	0	0	0	0
ENSG00000235847	674	308	844	465	85	105
ENSG00000235848	2	3	0	0	0	0
ENSG00000235849	0	0	0	0	0	0
ENSG00000235852	5	1	1	2	2	8
ENSG00000235858	0	0	0	0	0	0
ENSG00000235859	99	478	159	58	738	27
ENSG00000235862	0	1	0	0	0	6
ENSG00000235863	2	4	0	3	5	0
ENSG00000235864	1	0	0	2	2	0
ENSG00000235865	16	62	26	17	96	23
ENSG00000235868	2	2	2	5	1	0
ENSG00000235869	0	0	0	0	0	0
ENSG00000235871	0	0	0	0	0	0
ENSG00000235872	0	0	0	0	1	1
ENSG00000235875	0	1	0	0	0	0
ENSG00000235879	49	44	151	17	19	14
ENSG00000235880	0	0	0	0	0	0
ENSG00000235881	0	0	0	0	0	0
ENSG00000235884	79	5	5	137	5	45
ENSG00000235885	0	0	0	1	2	0
ENSG00000235886	0	0	0	0	0	0
ENSG00000235888	1	1	0	5	5	0
ENSG00000235890	16	7	0	16	1	0
ENSG00000235892	19	14	64	38	25	48
ENSG00000235897	1	1	0	7	8	1
ENSG00000235899	0	0	0	0	0	0
ENSG00000235901	1	1	0	5	6	5
ENSG00000235902	0	0	5	0	0	0
ENSG00000235903	6	7	1	2	5	2
ENSG00000235904	0	6	1	8	4	2
ENSG00000235907	0	3	4	1	1	0
ENSG00000235908	0	3	0	0	5	1
ENSG00000235911	0	0	0	0	0	0
ENSG00000235914	0	0	0	0	0	0
ENSG00000235917	0	1	0	0	2	0
